,EEX-PHELIX BASELOAD M CONTINUOUS - SETT. PRICE,EEX-PHELIX BASELOAD M CONTINUOUS LTD - SETT. PRICE,EEX-PHELIX BASELOAD M CONT. WVOL - SETT. PRICE,EEX-PHELIX BASELOAD M CONTINUOUS VOL - SETT. PRICE,EEX-PHELIX BASELOAD M CONT. INDEX - SETT. PRICE,EEX-PHELIX BASELOAD M CONTINUOUS AVG - SETT. PRICE,EEX-PHELIX BASELOAD M TRc1 - SETT. PRICE,EEX-PHELIX BASELOAD M TRc2 - SETT. PRICE,EEX-PHELIX BASELOAD M TRc3 - SETT. PRICE,EEX-PHELIX BASELOAD M TRc4 - SETT. PRICE,EEX-PHELIX BASELOAD M TRc5 - SETT. PRICE,EEX-PHELIX BASELOAD M TRc6 - SETT. PRICE,EEX-PHELIX BASELOAD M TRc7 - SETT. PRICE
31/12/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/01/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/01/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/01/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06/01/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/01/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/01/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/01/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/01/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/01/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/01/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/01/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/01/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19/01/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/01/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/01/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/01/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/01/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/01/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27/01/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/01/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/01/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/02/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/02/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/02/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/02/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/02/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/02/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/02/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/02/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/02/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/02/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15/02/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/02/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/02/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/02/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/02/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/02/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/02/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/02/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/02/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/02/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/02/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/03/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/03/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/03/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06/03/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/03/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/03/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/03/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/03/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/03/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/03/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15/03/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/03/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/03/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/03/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/03/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/03/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/03/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/03/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27/03/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/03/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/03/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/03/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/03/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/04/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/04/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/04/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06/04/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/04/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/04/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/04/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/04/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/04/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/04/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/04/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/04/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19/04/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/04/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/04/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/04/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/04/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/04/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27/04/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/04/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/05/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/05/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/05/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/05/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/05/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/05/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/05/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/05/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/05/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15/05/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/05/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/05/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/05/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/05/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/05/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/05/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/05/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/05/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/05/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/05/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/05/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/06/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/06/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/06/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06/06/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/06/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/06/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/06/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/06/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/06/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/06/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15/06/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/06/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19/06/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/06/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/06/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/06/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/06/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/06/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27/06/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/06/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/06/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/06/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/07/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/07/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/07/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06/07/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/07/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/07/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/07/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/07/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/07/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/07/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/07/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/07/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19/07/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/07/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/07/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/07/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/07/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/07/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27/07/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/07/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/07/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/08/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/08/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/08/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/08/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/08/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/08/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/08/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/08/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/08/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15/08/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/08/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/08/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/08/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/08/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/08/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/08/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/08/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/08/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/08/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/08/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/08/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/08/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/09/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/09/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/09/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06/09/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/09/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/09/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/09/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/09/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/09/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/09/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15/09/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/09/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19/09/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/09/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/09/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/09/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/09/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/09/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27/09/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/09/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/09/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/10/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/10/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/10/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/10/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06/10/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/10/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/10/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/10/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/10/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/10/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/10/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/10/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/10/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19/10/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/10/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/10/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/10/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/10/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/10/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27/10/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/10/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/10/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/11/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/12/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/01/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/01/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/01/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/01/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/01/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/01/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/01/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/01/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/01/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/01/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15/01/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/01/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/01/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/01/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19/01/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/01/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/01/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/01/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/01/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/01/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/01/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/01/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/01/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/02/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/02/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/02/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06/02/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/02/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/02/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/02/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/02/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/02/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/02/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
